full_sq,industrial_km,green_zone_km,cemetery_km,catering_km,big_road2_km,church_synagogue_km,water_km,big_road1_km,floor
44.0,0.663818855,0.400846226,3.422282,0.429147953,3.55593925,0.686463506,0.424520341,1.939968432,8.0
54.0,0.307064122,0.530374874,0.422246,0.434421249,4.387568076,1.090272176,0.553260888,3.900747384,1.0
74.0,0.30352683,0.06191373,3.246036,1.451572795,7.30393826,0.760733553,0.291567083,4.815339934,8.0
46.0,0.27928806,0.497697669,0.946239,0.113429958,1.298218568,1.203723199,1.33202509,0.727704622,4.0
32.0,0.0,0.808651426,1.625977,0.11231708,3.330766556,0.75026844,1.092722131,3.143018242,8.0
50.0,0.138770998,0.543505797,1.948365,0.157578892,1.021887857,2.180866118,0.812356551,0.904534532,8.0
58.0,0.410210667,0.262569393,2.271414,0.852279269,1.422278848,0.574288457,0.759434334,0.803223517,4.0
54.0,0.428789562,0.680658848,0.971245,0.493921863,4.375160627,0.848651508,0.281460966,2.658479429,15.0
32.0,1.217186964,0.25949198,2.216343,0.181816387,5.381477069,0.878852747,0.860971998,1.142853437,3.0
78.0,0.154491703,0.443993771,2.95766,0.414070904,2.554907603,1.655778917,1.492877205,1.00969729,6.0
51.0,0.509988197,0.121873257,0.894895,0.285662792,1.491623283,1.234205236,1.021699051,1.176470053,12.0
36.0,0.286980331,0.2629322,1.955888,0.438385486,1.838923645,1.816081574,0.802998864,1.78174808,2.0
57.0,0.432480964,0.200397686,3.435317,0.49743965,7.486069664,0.693071208,0.271124684,3.722920936,2.0
39.0,0.304042327,0.021291863,1.461168,0.994843836,2.018061067,0.818787616,0.54531979,1.873086578,8.0
61.0,1.130329072,0.298218632,0.737819,0.225508744,2.023323015,0.25783394,0.515691648,0.734352577,1.0
52.0,0.171241058,0.126461788,0.994111,0.277856454,3.676156011,0.38329475,0.240212883,3.634556672,5.0
48.0,0.628854956,0.269905002,0.92011,0.418943614,0.884900914,0.748705843,0.662362729,0.531271065,5.0
39.0,1.146965023,0.176590653,1.362695,0.17925559,3.535851197,0.429987276,0.468948098,3.44494887,6.0
325.0,0.867218193,0.317645218,1.092414,0.763027866,2.309921557,1.247850046,0.684961461,0.675466123,7.0
51.0,0.81465157,0.522883408,0.218178,0.289313737,1.453772033,0.531017567,0.781124248,0.992089369,15.0
33.0,0.235152382,0.021416738,1.29297,0.259673197,2.494563205,1.328630074,0.042376045,2.448240105,5.0
40.0,0.739012164,0.377864018,0.999256,1.02020544,0.365304677,1.104832014,0.630288751,0.339471744,3.0
47.0,1.283672915,0.111377625,0.738917,0.624381188,3.614827801,0.84052713,0.212479387,3.584962859,3.0
37.0,0.278244625,0.060055936,5.152014,0.146621945,5.180392711,0.583242855,0.257991603,1.188004416,1.0
44.0,0.316099251,0.364887489,4.645052,0.276311035,4.594302738,0.810544606,0.385289864,3.05574566,4.0
32.0,0.270924835,1.047523093,0.572418,0.476761279,1.547467476,1.045560047,1.340419019,1.23456714,2.0
53.0,0.619709268,0.144202592,1.031667,0.126822079,3.628743079,0.788149829,0.749579531,0.956967568,1.0
55.0,0.279288054,0.518684912,0.582574,0.311875971,4.244616513,0.945948016,0.546226323,3.936991628,3.0
51.0,0.589670554,0.358353403,0.51523,0.20395468,1.14387467,0.650250532,0.446290237,0.299348678,3.0
32.0,0.299820878,0.16578653,2.788035,0.004177687,2.39314819,1.627192783,0.145762485,1.043891633,7.0
22.0,0.122410516,0.022593857,2.366601,0.443885057,2.365687461,1.259592595,0.105524593,0.654908904,9.0
36.0,1.152618565,0.250273924,1.16884,0.442943726,3.498902922,0.585371266,0.431503365,3.236508786,10.0
44.0,0.475210065,0.172279214,1.666857,0.178005983,3.829062441,0.463654538,0.471946956,0.964325193,1.0
62.0,1.066892762,0.306524085,1.764203,0.416340433,2.608954926,0.979497662,1.905325089,2.555380251,7.0
43.0,1.231785454,0.364170715,2.021465,0.446745804,2.113745229,1.0217035,0.41490425,2.040559197,7.0
51.0,0.731622532,0.681773037,2.206553,0.769402991,0.988123789,0.880947521,0.951035887,0.965277561,3.0
102.0,0.398730239,0.812672448,1.520234,1.218505429,2.66659271,0.601487232,0.955498303,1.228284323,11.0
117.0,0.021013563,0.491644776,3.095431,0.369787217,3.036495086,1.549737463,0.790525135,0.508591394,20.0
31.0,0.685129902,0.193642268,4.689979,0.471950002,3.61530321,1.665017901,0.255919303,2.427612592,1.0
59.0,0.079168399,0.341339048,3.612185,0.211317772,2.832278606,2.012083434,1.373757809,0.538915893,9.0
30.0,1.672914979,0.241298497,1.144574,0.154944521,4.04425011,0.467938832,0.926977169,2.8442609,3.0
54.0,0.8409616,0.610414506,1.301743,0.543407641,3.904544448,0.305161287,0.538305162,3.022085689,13.0
46.0,0.815831828,0.25540661,1.431061,0.283736107,3.963743919,1.112574082,0.675365655,0.588989282,11.0
39.0,1.417213554,0.500875647,3.991485,0.267594551,4.468341089,1.264896811,0.711790547,0.070328318,18.0
38.0,0.819492544,0.24636723,0.892404,0.829831365,4.043946717,0.961307665,0.377927039,1.371314794,2.0
59.0,0.050462549,0.090303909,2.474007,0.343067537,2.49108002,1.200237854,0.207048833,0.608484028,2.0
44.0,0.736584293,0.461249934,3.129076,0.315525694,2.021997347,0.514811364,1.018845828,0.771535512,4.0
54.0,0.129610265,0.283729973,0.50482,0.233506569,3.730451816,1.077832021,0.445607079,0.267144788,5.0
60.0,1.767604451,0.338183676,3.566062,0.455126628,2.552492727,1.13623751,0.655826903,2.302043603,2.0
34.0,0.543168126,0.06525658,2.533449,0.197225942,2.479115212,2.11524664,0.254517409,2.157081874,3.0
86.0,1.010396595,0.143627116,2.901687,0.102552005,5.078336779,1.241472567,0.410450128,4.377001262,18.0
36.0,0.061803018,0.238555126,1.884119,0.249230121,5.119052663,0.348178049,0.308727831,0.22209934,8.0
74.0,0.665609792,0.084933879,1.521812,0.426127013,3.920782928,1.706122956,0.214938187,3.052802942,11.0
39.0,1.785648406,0.023425463,0.742192,0.149674787,1.034324112,0.787800513,0.330229809,0.325521968,6.0
85.0,1.134854739,0.394689513,1.444004,0.51581391,4.670771884,1.756311184,0.880204233,1.406902011,9.0
36.0,0.821821016,0.0,1.288477,0.602134403,4.835215806,0.907393732,0.143352225,4.545806476,11.0
44.0,0.311782334,0.214584051,2.319682,0.409239588,5.04980588,0.793596201,1.022380098,0.827352651,7.0
38.0,0.953426199,0.070481493,1.04478,0.312680054,4.219579296,1.251969244,0.158546427,2.843945021,12.0
47.0,0.685331969,0.054322054,1.390181,0.659941813,2.065640154,0.536211578,0.19889249,1.973397766,3.0
42.0,0.09323269,0.64607582,5.285579,0.588382347,3.909927608,1.360108498,0.444400434,3.133287949,4.0
115.0,2.598081183,0.030519342,3.144325,0.145072643,3.001259648,1.147352357,1.044741829,0.829195241,7.0
32.0,0.497058827,0.034161884,3.830794,0.744781667,3.855867124,0.275169631,0.296965965,2.602436283,1.0
30.0,0.50802238,0.512774907,2.662274,0.545035319,2.119096983,0.720515068,0.704770326,0.482995947,8.0
37.0,0.285843501,0.291747664,1.38779,0.444638012,5.13468172,0.724202597,0.684971875,5.04975179,4.0
44.0,2.111277208,0.123075078,1.925969,0.720251611,4.080165719,0.097421679,0.537015094,1.216328736,3.0
35.0,1.245053817,0.20802956,2.053696,0.609505519,2.226950851,1.203570931,0.282451553,2.155430081,5.0
30.0,0.074210604,0.933384119,2.24856,0.589050678,1.639156606,0.787480343,0.277944597,1.139564101,3.0
78.0,0.635825387,0.6326343,1.85776,0.345701004,1.95641753,1.129200781,0.872112462,1.436810889,3.0
98.0,1.161547755,0.0,0.480616,0.634617909,4.38613155,1.679874146,0.457134453,1.04283827,7.67080253432
32.0,0.385348837,0.721786392,3.797517,0.107360936,3.938776436,1.730831641,1.385759246,0.741731343,7.0
80.0,0.37736125,0.073264606,2.82224,0.232352575,5.163269835,0.771471456,0.40035012,4.724181143,11.0
68.0,1.069313796,0.072249336,2.573806,0.005436161,2.403992674,1.024838264,1.172625708,1.331844227,2.0
38.0,1.303147143,0.074235538,0.962079,0.688825347,3.588926768,0.379042323,0.357197045,3.148584681,2.0
38.0,2.057494099,0.269224807,1.595011,0.379795695,4.697810547,0.29303156,0.300246894,2.120819004,7.0
43.0,0.398579111,0.636773892,3.660392,0.352531553,1.878271779,0.420109662,0.713626573,1.013786364,6.0
98.0,0.507487489,0.039575984,1.571362,0.222100239,3.867989318,1.305347375,0.199963054,3.088082343,12.0
31.0,0.763677779,0.508813728,1.642385,0.2827369,3.632546266,1.104361176,1.653018428,0.412721602,2.0
49.0,0.364989749,0.251487938,4.732548,0.542645414,3.687026321,1.093113019,0.196606682,3.341189631,7.67080253432
38.0,1.019766907,0.390790189,0.655978,0.082650522,0.893269965,0.722006138,0.475357114,0.737463821,15.0
37.0,0.37555725,0.167511026,2.255237,0.894107578,2.831789614,0.689615751,0.789560337,2.668666712,10.0
104.0,0.92857466,0.121525801,3.379499,0.084988025,1.856515891,0.204471359,0.697210068,1.343819719,7.0
45.0,0.065000359,0.973423505,1.387541,0.263470938,3.127876392,0.634656815,1.466846016,3.104637329,5.0
33.0,0.423137527,0.630155859,2.505742,0.133784958,1.933379616,0.887912068,1.031770978,1.672787822,9.0
39.0,0.513969961,0.113566103,3.28577,0.751861575,1.659951451,1.089484032,0.851683724,1.045353308,10.0
53.0,0.751351426,0.58019123,1.430317,0.089364476,3.262064227,1.447997141,0.804899595,2.665063777,7.0
37.0,0.227495321,0.38522243,4.699017,0.797691766,3.360977654,1.706953616,0.361669878,2.762085551,7.67080253432
36.0,0.475534455,1.163246967,1.547651,0.136351217,3.413403406,0.458630791,0.96911072,0.256660233,5.0
54.0,0.600391055,0.106662256,3.726838,0.173315525,2.743982235,2.318063778,1.07902206,2.220494751,3.0
54.0,0.743712223,0.02283054,0.164192,0.499485469,3.586708706,0.400902483,0.271128648,0.934807654,2.0
102.0,2.21951799,0.270503189,3.956398,0.661147514,1.703617819,0.840109103,0.406257157,0.424199284,8.0
38.0,0.249520499,0.869434742,1.06836,0.098076607,1.095546376,1.002796192,1.845396616,0.938712317,15.0
33.0,1.654360955,0.099949797,2.159644,0.007280364,3.253474044,1.904672345,0.915424918,2.032621777,8.0
30.0,0.244769636,0.037276258,0.922818,0.309194324,2.039344295,0.259090801,0.525041459,1.778020882,3.0
76.0,0.022813173,0.253870384,1.969711,0.605913982,1.853919229,0.98910895,1.120770599,0.385323482,2.0
44.0,0.246982169,0.339461641,2.729316,0.123730055,1.927060876,0.371182226,1.251781339,1.33479288,8.0
35.0,0.948982665,0.13556284,0.524853,0.151984167,1.675719636,0.164755058,0.232583889,0.448483044,5.0
72.0,2.080245625,0.081600799,4.04509,0.108376675,2.346353481,1.188411438,1.091080739,1.938706432,10.0
32.0,0.419046973,0.66812204,1.02625,0.384143578,2.310118065,1.172160866,0.678863087,0.569836714,6.0
84.0,1.171992385,0.2369482,3.087516,0.699702953,6.268664763,0.579134136,0.477002754,2.602097934,21.0
45.0,0.109425468,0.432174159,0.807223,0.352145712,3.476204784,1.061131331,0.442168808,0.324535584,5.0
42.0,1.047456166,0.416910946,4.281745,0.253936399,4.590754507,0.940797423,0.550022935,0.297252753,8.0
38.0,0.180099201,0.033395891,3.776196,0.478230546,1.593206063,1.531468426,0.425955603,1.523853601,5.0
37.0,0.25085431,0.30932999,1.917955,0.353665021,0.685016212,0.620689273,1.291869224,0.578586084,7.0
54.0,1.481531493,0.232859443,0.986089,0.350816337,3.043120097,0.574772185,0.084799634,0.653407302,15.0
43.0,0.69641299,0.19034881,3.524501,0.285287304,2.148775819,1.41256376,0.695206153,1.792879342,2.0
45.0,0.367013995,0.174886051,1.027495,0.464278241,3.218727877,1.02095387,0.185181663,0.318274092,7.67080253432
60.0,0.635102321,0.593732419,4.276646,0.395357816,4.316600622,0.430985805,0.691196432,0.688052892,16.0
50.0,0.423495415,0.174656475,2.155074,0.261618489,1.005437077,1.197783194,0.358297318,1.004929671,14.0
17.0,1.012132305,0.436649565,1.848658,0.052069233,2.256338178,1.23919104,1.508757413,2.233619548,4.0
58.0,0.671554514,0.175305178,3.982528,0.413759175,2.595847678,0.388448389,1.38504384,0.767901947,5.0
58.0,0.34418431,0.017623786,2.865304,0.059704931,2.3508967,0.537905587,0.563492721,0.226515213,8.0
38.0,0.850998659,0.132043441,1.346196,0.212884106,3.419517927,0.317485288,0.412420288,1.203629749,5.0
93.0,1.671991318,0.231037349,0.75599,0.030967414,2.26359809,0.687089202,0.310559677,2.240021491,5.0
45.0,0.304720526,0.384959371,0.6466,0.334496457,2.128475982,0.474312619,1.405284782,1.815258359,4.0
32.0,0.875082121,0.147822259,0.373604,0.203593961,0.356755762,0.541488036,0.731519287,0.257890257,3.0
57.0,1.629090871,0.166539717,3.413742,0.342860956,2.537657179,1.395809008,0.921071622,1.638377296,1.0
37.0,0.537672187,0.420730592,0.513801,0.186560569,1.15493108,0.624973364,0.43057987,0.251373276,16.0
39.0,0.365121003,0.05078036,5.756244,1.767218266,2.518169017,0.877370437,1.250225861,1.806377734,13.0
42.0,0.553977718,0.480923833,1.597221,0.054476793,1.941593276,0.975954753,0.354617326,0.310609699,9.0
41.0,0.193234272,0.063075932,1.09398,1.867996471,1.735650303,0.876688052,1.541211911,1.551752217,7.0
34.0,0.407998025,0.354510253,5.040134,0.329898694,3.500063825,0.759040077,0.423662805,3.174583936,4.0
44.0,1.319129574,0.226350606,1.947953,0.447882015,3.90463415,0.602727967,0.306846735,1.092276507,9.0
41.0,0.950387747,0.0,3.145679,0.375866749,0.992546501,0.522408395,1.145193725,0.830804826,9.0
52.0,1.155000002,0.132479917,0.252723,0.118742002,2.31440289,1.363564959,0.573548228,2.31440289,9.0
38.0,0.529150681,0.292051417,1.03525,0.20846364,1.090762425,0.174511453,0.306011545,0.411545078,4.0
38.0,0.663059529,0.134947847,0.785337,0.455715855,1.241014061,0.46471747,0.843442299,0.835163047,16.0
52.0,0.224107003,0.1764136,2.943477,0.121764055,4.143705426,0.928264842,0.339019595,1.630488208,9.0
48.0,0.22131059,0.17542302,1.678014,0.211564675,5.594800377,0.91723277,0.365856235,5.145718198,9.0
44.0,1.181268364,0.018857376,1.591503,0.249494999,2.48017949,0.505712832,0.569670791,2.16605528,3.0
30.0,0.13220236,0.014319743,1.368844,0.316974894,2.2187454,0.84672672,1.302790935,1.199981308,6.0
60.0,0.391285307,0.433533436,2.974769,1.20007755,7.149806717,1.142040083,0.770947255,4.288915157,11.0
50.0,0.500568541,0.396406588,1.775091,0.229520381,1.481246504,0.683530757,0.687894789,0.674488747,6.0
43.0,2.130614289,0.105380163,2.257409,0.754967443,1.068992955,2.722152039,0.891427068,0.60626205,10.0
54.0,0.8409616,0.610414506,1.301743,0.543407641,3.904544448,0.305161287,0.538305162,3.022085689,3.0
39.0,1.4098669,0.264971112,1.163685,1.061239155,0.911864407,1.250013018,0.363084402,0.376560192,3.0
76.0,1.887960224,0.067411201,4.367867,0.289558467,2.573755723,1.050378262,1.089418161,2.197808077,4.0
45.0,1.072637212,0.452936258,1.445161,0.382910266,3.278125922,0.982674491,0.930725817,3.278125922,2.0
38.0,0.681399042,0.059234164,0.462,0.332814907,2.765287701,0.554431125,0.906680863,2.022860369,2.0
60.0,0.240754131,0.137197453,1.080266,0.076667285,1.053766854,0.973159603,1.402870314,0.048664588,3.0
38.0,0.119282863,0.335095675,2.759935,0.254193909,1.501076903,2.603518218,0.864693044,0.085947023,3.0
38.0,0.859734534,0.191739837,2.013254,0.283067116,2.833297142,1.980072331,0.98514457,2.832870181,3.0
75.0,0.013426661,0.463967217,5.4889,0.155660199,4.353162231,0.752875236,1.225845549,1.952595205,12.0
